created_at	screen_name	text
Fri Nov 18 23:45:41 +0000 2016	NZSuresh	RT @1ndiaFirst: Hunt for black money begins with notices⬇️ #demonetization #सारे_चोर_मचाये_शोर #BlackmoneyDebate @ExSecular https://t.co/Yw…
Fri Nov 18 23:45:35 +0000 2016	prabhatverma76	@CNNnews18 yes, being pro black money is not a crime!?!?!?!?We reiterate that comman ppl don't feel any problem now… https://t.co/I02udiLOk5
Fri Nov 18 23:45:35 +0000 2016	JugalKhetan	"RT @Gravim71: #हृदय_सम्राट_मोदी 
#हृदय_सम्राट_मोदी #हृदय_सम्राट_मोदी 

@pandey_braj @mike921112 @MikeAndMike @IndiaHX1

#DeMonetization 
Ch…"
Fri Nov 18 23:45:20 +0000 2016	Indian_Liars	"RT @Pawansh07: A reality check on #Demonetization in front of Bank.

महिला : यहाँ लाइन में कोई काले धन वाला करोडपति या नेता नहीं है, सबके घ…"
Fri Nov 18 23:45:18 +0000 2016	kunjanpankaj	#demonetization 😜पूरे का पूरा कंजणवाल का माल गया , तुतिया बनाकर जो जमा किये भईया ई मोदी मार गया @ArvindKejriwal 😭😭 https://t.co/nJDXMmnjCW
Fri Nov 18 23:45:14 +0000 2016	imtweet_chor	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:44:57 +0000 2016	sama_patkar	"Luxury goods and the wedding industry majorly affected by the demonetization in India #demonetization 
https://t.co/DLGmSgBPnN"
Fri Nov 18 23:44:38 +0000 2016	dailyonion	.. Mumbai lost 5500Cr in 9 days. #demonetization https://t.co/LqkFneu7b3
Fri Nov 18 23:44:25 +0000 2016	imrichardphilip	@NY_IH Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqa8OYR
Fri Nov 18 23:44:21 +0000 2016	AditiTwt	मी लार्ड, बैंकों ही नहीं कोर्ट के बाहर भी कतार है! https://t.co/UwdIlLnvVo #demonetization #indianjudiciary
Fri Nov 18 23:44:15 +0000 2016	MaheshCMahtolia	"RT @Coffeeliciious: Hey delhiites, who would you like to change first ?  😁

#demonetization 
#ThatsSmart"
Fri Nov 18 23:43:49 +0000 2016	niyantashetye	#demonetization https://t.co/DijvKgqBj6
Fri Nov 18 23:43:29 +0000 2016	imrichardphilip	@RealHistoryPic Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqaqqnr
Fri Nov 18 23:43:18 +0000 2016	Indian_Liars	"Banks taking money in, but giving out less...WHY?

Shows the whole scheme is for calibrating the system for NPAs

#demonetization"
Fri Nov 18 23:43:13 +0000 2016	jayeshmahajan	RT @NavbharatTimes: दिल्ली के पहाड़गंज में ज्यादातर ATMs में खत्म हुआ कैश, लंबी कतारों का दौर जारी। #cashCrisis #cashchaos #demonetization…
Fri Nov 18 23:43:08 +0000 2016	imrichardphilip	@sudarsansand Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqa8OYR
Fri Nov 18 23:42:52 +0000 2016	tajinde79265331	"RT @MinhazMerchant: Anna Hazare tells @CNNnews18 #demonetization is ""a historic decision by govt, those with black money against move."" And…"
Fri Nov 18 23:41:56 +0000 2016	gsurya	RT @vikramhegde: Article summary: #demonetization is going to be awesome. Modi is winning it. It's going to be great. Some are whining. But…
Fri Nov 18 23:41:42 +0000 2016	indiacom	"#Demonetization to make housing affordable, transparent mode of financing on the go
https://t.co/Zd6LtTaUDc https://t.co/DsL6ZVjav2"
Fri Nov 18 23:41:18 +0000 2016	mahendra3	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:40:14 +0000 2016	sinmani	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:40:02 +0000 2016	AAOLion	"RT @ukshahi: Awesome write up by @RitaG74 where in she exposes AwardWapsi Gang dat is back post #Demonetization.
https://t.co/sttISIWJfQ vi…"
Fri Nov 18 23:39:56 +0000 2016	Priieeeee	"RT @DrGPradhan: .@ravishndtv of @ndtv spreading rumours to provoke people against #demonetization &amp; PM @narendramodi 

He need mob treatmen…"
Fri Nov 18 23:39:28 +0000 2016	rameshagrawal95	"RT @Gravim71: #हृदय_सम्राट_मोदी 
#हृदय_सम्राट_मोदी #हृदय_सम्राट_मोदी 

@pandey_braj @mike921112 @MikeAndMike @IndiaHX1

#DeMonetization 
Ch…"
Fri Nov 18 23:38:58 +0000 2016	rameshagrawal95	"RT @YesIamSaffron: फर्जीवाल का बलिदान मांगे हिंदुस्तान!
.
क्या ये सच है #Demonetization के विरोध में
सडजी आमरण अनशन करके शहीद होनेवाला है @…"
Fri Nov 18 23:38:52 +0000 2016	asitava2k	CJI instigates riots , only possible in India, proves Modi hit hard #demonetization  @Swamy39
Fri Nov 18 23:38:51 +0000 2016	chintu002	When people are dying daily, Modi ji is laughing &amp; enjoying the updates#ThuglakSarkar #demonetization @ArvindKejriwal @TelanganaPCC
Fri Nov 18 23:38:21 +0000 2016	NZSuresh	RT @shri_bal: LOL while @Outlookindia getting orgasmic over Chinese media reports on #demonetization meanwhile few liners below frm Sanghis…
Fri Nov 18 23:38:19 +0000 2016	MonarkMistry	"RT @ukshahi: Awesome write up by @RitaG74 where in she exposes AwardWapsi Gang dat is back post #Demonetization.
https://t.co/sttISIWJfQ vi…"
Fri Nov 18 23:37:56 +0000 2016	nisha_228	RT @RoflGandhi_: When the bank manager says kal aana, cash nahi hai. #demonetization https://t.co/DRyGmtoX7x
Fri Nov 18 23:37:35 +0000 2016	Freud_of_Jung	"RT @AdityaNair20: First time in 29years, our Milkman asked for a check!
#demonetization 💜

@narendramodi @TarekFatah @PrasadAol @rashminp @…"
Fri Nov 18 23:37:28 +0000 2016	kchandra56	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:36:56 +0000 2016	Ashu4487	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:36:14 +0000 2016	i_AmitKumar	@rssurjewala congressis are in most trouble post #demonetization . Itna loot ka maal kahan chupayenge
Fri Nov 18 23:35:58 +0000 2016	PremAryan18	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:35:57 +0000 2016	jiteng02	The way @ArvindKejriwal is jumping over opposing #demonetization #byebyeblackmoney, either he's lost lots or he's being funded by hoarders.
Fri Nov 18 23:35:51 +0000 2016	shreya_snh	RT @VivekJVarghese: Hilarious sight in front of RBI trivandrum. #shivsena joins #Communists against @narendramodi on #demonetization :p htt…
Fri Nov 18 23:35:29 +0000 2016	rajeevnayak1985	RT @sudarsansand: My humble appeal to all to pl have patience and draw what they need from ATMs during this #Demonetization phase. My SandA…
Fri Nov 18 23:35:28 +0000 2016	p_sachade	RT @Niraj_dp1: #demonetization #IndiaAgainstCorruption https://t.co/oGI11bcWJX
Fri Nov 18 23:35:03 +0000 2016	nasrulhoda73	RT @RoflGandhi_: नोएडा में 20 फ्लैटों के मालिक एवं 5 स्टार एंकर @abhisar_sharma ने किया #demonetization का गुणगान https://t.co/ZdbZu4Nx9s
Fri Nov 18 23:34:56 +0000 2016	ManyaPande	RT @13Sweetkind: good to hear from Congi Gulaams ,..Bharat mata ki jai instead of Maino mata ki Jai  #demonetization effect https://t.co/LP…
Fri Nov 18 23:34:33 +0000 2016	DrAnupDubey	@shirishkunder sahi hai bhai tu twitter pe hi laga reh galati se movie mat bana diyo #Demonetization #Joker #Kriti #Plagiarism
