title,date,days,tokens,stem,lemma,pos_tags,named_entities
"Data Science Pop-Up in Austin, TX",2 points by AnnaOnTheWeb 6 days ago  | discuss,6,"data,science,pop,austin,tx","Data Science Pop-Up in Austin, TX","Data Science Pop-Up in Austin, TX","[('Data', 'NNP'), ('Science', 'NNP'), ('Pop', 'NNP'), ('-', ':'), ('Up', 'NN'), ('in', 'IN'), ('Austin', 'NNP'), (',', ','), ('TX', 'NNP')]","['Data Science Pop', 'Austin']"
A Billion Taxi Rides on Amazon EMR Running Presto,3 points by marklit 8 days ago  | discuss,8,"billion,taxi,rides,amazon,emr,running,presto",A Billion Taxi Rides on Amazon EMR Running Presto,A Billion Taxi Rides on Amazon EMR Running Presto,"[('A', 'DT'), ('Billion', 'NNP'), ('Taxi', 'NNP'), ('Rides', 'NNP'), ('on', 'IN'), ('Amazon', 'NNP'), ('EMR', 'NNP'), ('Running', 'NNP'), ('Presto', 'NNP')]",['Amazon']
Train your own image classifier with Inception in TensorFlow,7 points by elyase 12 days ago  | discuss,12,"train,image,classifier,inception,tensorflow",Train your own image classifier with Inception in TensorFlow,Train your own image classifier with Inception in TensorFlow,"[('Train', 'VB'), ('your', 'PRP$'), ('own', 'JJ'), ('image', 'NN'), ('classifier', 'NN'), ('with', 'IN'), ('Inception', 'NNP'), ('in', 'IN'), ('TensorFlow', 'NNP')]",['TensorFlow']
Statisticians Agree: It?s Time To Stop Misusing P-Value,9 points by jpiburn 15 days ago  | 5 comments,15,"statisticians,agree,time,stop,misusing,p,value",Statisticians Agree: It?s Time To Stop Misusing P-Valu,Statisticians Agree: It?s Time To Stop Misusing P-Value,"[('Statisticians', 'NNS'), ('Agree', 'VBP'), (':', ':'), ('It', 'PRP'), ('?', '.'), ('s', 'JJ'), ('Time', 'NNP'), ('To', 'TO'), ('Stop', 'VB'), ('Misusing', 'NNP'), ('P', 'NNP'), ('-', ':'), ('Value', 'NN')]",[]
Shiny app for running a Tensorflow demo,3 points by shinyman 8 days ago  | discuss,8,"shiny,app,running,tensorflow,demo",Shiny app for running a Tensorflow demo,Shiny app for running a Tensorflow demo,"[('Shiny', 'NNP'), ('app', 'NN'), ('for', 'IN'), ('running', 'VBG'), ('a', 'DT'), ('Tensorflow', 'NNP'), ('demo', 'NN')]","['Shiny', 'Tensorflow']"
File details and owners with gitnoc and git-pandas,3 points by wdm0006 9 days ago  | discuss,9,"file,details,owners,gitnoc,git,pandas",File details and owners with gitnoc and git-panda,File details and owners with gitnoc and git-pandas,"[('File', 'NN'), ('details', 'NNS'), ('and', 'CC'), ('owners', 'NNS'), ('with', 'IN'), ('gitnoc', 'NN'), ('and', 'CC'), ('git', 'JJ'), ('-', ':'), ('pandas', 'NN')]",['File']
7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,2 points by galvanize 7 days ago  | discuss,7,"7,big,data,technologies,use,data,engineers,know",7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,"[('7', 'CD'), ('Big', 'NNP'), ('Data', 'NNP'), ('Technologies', 'NNPS'), ('and', 'CC'), ('When', 'WRB'), ('to', 'TO'), ('Use', 'VB'), ('Them', 'NNP'), ('that', 'IN'), ('All', 'NNP'), ('Data', 'NNP'), ('Engineers', 'NNP'), ('Should', 'NNP'), ('Know', 'NNP')]",['All Data Engineers Should Know']
Topic clusters with TF-IDF vectorization with Spark and Scala,2 points by lefish 7 days ago  | discuss,7,"topic,clusters,tf,idf,vectorization,spark,scala",Topic clusters with TF-IDF vectorization with Spark and Scala,Topic clusters with TF-IDF vectorization with Spark and Scala,"[('Topic', 'NN'), ('clusters', 'NNS'), ('with', 'IN'), ('TF', 'NNP'), ('-', ':'), ('IDF', 'NNP'), ('vectorization', 'NN'), ('with', 'IN'), ('Spark', 'NNP'), ('and', 'CC'), ('Scala', 'NNP')]","['Topic', 'TF', 'IDF', 'Spark', 'Scala']"
Neural Doodles: Workflows for the Next Generation of Artists,5 points by pmigdal 12 days ago  | discuss,12,"neural,doodles,workflows,next,generation,artists",Neural Doodles: Workflows for the Next Generation of Artist,Neural Doodles: Workflows for the Next Generation of Artists,"[('Neural', 'JJ'), ('Doodles', 'NNS'), (':', ':'), ('Workflows', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('Next', 'JJ'), ('Generation', 'NNP'), ('of', 'IN'), ('Artists', 'NNS')]",['Next Generation']
Graph Databases 101,5 points by carlosgg 12 days ago  | discuss,12,"graph,databases,101",Graph Databases 101,Graph Databases 101,"[('Graph', 'NNP'), ('Databases', 'VBZ'), ('101', 'CD')]",['Graph']
"Telemetry with Collectd, Logstash, Elasticsearch and Grafana (ELG)",2 points by helloanand 7 days ago  | discuss,7,"telemetry,collectd,logstash,elasticsearch,grafana,elg","Telemetry with Collectd, Logstash, Elasticsearch and Grafana (ELG)","Telemetry with Collectd, Logstash, Elasticsearch and Grafana (ELG)","[('Telemetry', 'NN'), ('with', 'IN'), ('Collectd', 'NNP'), (',', ','), ('Logstash', 'NNP'), (',', ','), ('Elasticsearch', 'NNP'), ('and', 'CC'), ('Grafana', 'NNP'), ('(', '('), ('ELG', 'NNP'), (')', ')')]","['Telemetry', 'Collectd', 'Logstash', 'Elasticsearch', 'Grafana', 'ELG']"
XGBoost: A Scalable Tree Boosting System article,5 points by tfturing 12 days ago  | discuss,12,"xgboost,scalable,tree,boosting,system,article",XGBoost: A Scalable Tree Boosting System articl,XGBoost: A Scalable Tree Boosting System article,"[('XGBoost', 'NN'), (':', ':'), ('A', 'DT'), ('Scalable', 'JJ'), ('Tree', 'NNP'), ('Boosting', 'NNP'), ('System', 'NNP'), ('article', 'NN')]",['XGBoost']
DataRadar.IO - Data Science RSS Feed - Do you have enough data about your data,2 points by dekhtiar 8 days ago  | 3 comments,8,"dataradar,io,data,science,rss,feed,enough,data,data",DataRadar.IO - Data Science RSS Feed - Do you have enough data about your data,DataRadar.IO - Data Science RSS Feed - Do you have enough data about your data,"[('DataRadar', 'NNP'), ('.', '.'), ('IO', 'NNP'), ('-', ':'), ('Data', 'NNP'), ('Science', 'NNP'), ('RSS', 'NNP'), ('Feed', 'NNP'), ('-', ':'), ('Do', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('enough', 'VBN'), ('data', 'NNS'), ('about', 'IN'), ('your', 'PRP$'), ('data', 'NNS')]","['DataRadar', 'IO', 'Data Science']"
International Women's Day: What #PledgeForParity Means To Us,5 points by ddrum001 13 days ago  | discuss,13,"international,women,day,#,pledgeforparity,means,us",International Women's Day: What #PledgeForParity Means To U,International Women's Day: What #PledgeForParity Means To Us,"[('International', 'NNP'), ('Women', 'NNP'), (""'"", 'POS'), ('s', 'JJ'), ('Day', 'NNP'), (':', ':'), ('What', 'WP'), ('#', '#'), ('PledgeForParity', 'NN'), ('Means', 'NNPS'), ('To', 'TO'), ('Us', 'VB')]","['International Women', 'PledgeForParity Means']"
Top 50 Data Science thought leaders on Twitter,3 points by datawerq 11 days ago  | 3 comments,11,"top,50,data,science,thought,leaders,twitter",Top 50 Data Science thought leaders on Twitt,Top 50 Data Science thought leaders on Twitter,"[('Top', 'JJ'), ('50', 'CD'), ('Data', 'NNP'), ('Science', 'NNP'), ('thought', 'VBD'), ('leaders', 'NNS'), ('on', 'IN'), ('Twitter', 'NN')]",[]
Ask DT: Who Is Hiring? (March 2016),27 points by whoishiring 21 days ago  | 15 comments,21,"ask,dt,hiring,march,2016",Ask DT: Who Is Hiring? (March 2016),Ask DT: Who Is Hiring? (March 2016),"[('Ask', 'NNP'), ('DT', 'NNP'), (':', ':'), ('Who', 'WP'), ('Is', 'VBZ'), ('Hiring', 'VBG'), ('?', '.'), ('(', '('), ('March', 'NNP'), ('2016', 'CD'), (')', ')')]",['Ask']
Introducing GraphFrames,7 points by falaki 18 days ago  | discuss,18,"introducing,graphframes",Introducing GraphFram,Introducing GraphFrames,"[('Introducing', 'VBG'), ('GraphFrames', 'NNS')]",[]
Announcing R Tools for Visual Studio,3 points by brakmic 13 days ago  | discuss,13,"announcing,r,tools,visual,studio",Announcing R Tools for Visual Studio,Announcing R Tools for Visual Studio,"[('Announcing', 'VBG'), ('R', 'NNP'), ('Tools', 'NNP'), ('for', 'IN'), ('Visual', 'NNP'), ('Studio', 'NNP')]",['Visual Studio']
Question: What do you want to say about working with data?,2 points by emiller425 7 days ago  | discuss,7,"question,want,say,working,data",Question: What do you want to say about working with data?,Question: What do you want to say about working with data?,"[('Question', 'NN'), (':', ':'), ('What', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('to', 'TO'), ('say', 'VB'), ('about', 'IN'), ('working', 'VBG'), ('with', 'IN'), ('data', 'NNS'), ('?', '.')]",[]
Genomic Ranges - an Introduction to Working with Genomic Data,3 points by AnnaOnTheWeb 13 days ago  | discuss,13,"genomic,ranges,introduction,working,genomic,data",Genomic Ranges - an Introduction to Working with Genomic Data,Genomic Ranges - an Introduction to Working with Genomic Data,"[('Genomic', 'NNP'), ('Ranges', 'NNP'), ('-', ':'), ('an', 'DT'), ('Introduction', 'NN'), ('to', 'TO'), ('Working', 'VBG'), ('with', 'IN'), ('Genomic', 'NNP'), ('Data', 'NNP')]","['Genomic Ranges', 'Genomic Data']"
TensorFlow for Poets,9 points by ebellm 21 days ago  | 1 comment,21,"tensorflow,poets",TensorFlow for Poet,TensorFlow for Poets,"[('TensorFlow', 'NNP'), ('for', 'IN'), ('Poets', 'NNS')]",['TensorFlow']
Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,2 points by idewanck 10 days ago  | discuss,10,"unsupervised,learning,even,less,supervision,using,bayesian,optimization",Unsupervised Learning with Even Less Supervision Using Bayesian Optim,Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,"[('Unsupervised', 'VBN'), ('Learning', 'VBG'), ('with', 'IN'), ('Even', 'NNP'), ('Less', 'NNP'), ('Supervision', 'NNP'), ('Using', 'NNP'), ('Bayesian', 'NNP'), ('Optimization', 'NNP')]",['Even Less Supervision Using Bayesian']
How to work with large JSON datasets using Python and Pandas,9 points by brian_spiering 21 days ago  | discuss,21,"work,large,json,datasets,using,python,pandas",How to work with large JSON datasets using Python and Panda,How to work with large JSON datasets using Python and Pandas,"[('How', 'WRB'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('large', 'JJ'), ('JSON', 'NNP'), ('datasets', 'NNS'), ('using', 'VBG'), ('Python', 'NNP'), ('and', 'CC'), ('Pandas', 'NNP')]","['JSON', 'Python', 'Pandas']"
DrivenData Competition: Model/Visualize Fog Patterns in Morocco,4 points by bull 15 days ago  | discuss,15,"drivendata,competition,model,visualize,fog,patterns,morocco",DrivenData Competition: Model/Visualize Fog Patterns in Morocco,DrivenData Competition: Model/Visualize Fog Patterns in Morocco,"[('DrivenData', 'NNP'), ('Competition', 'NN'), (':', ':'), ('Model', 'NNP'), ('/', 'NNP'), ('Visualize', 'NNP'), ('Fog', 'NNP'), ('Patterns', 'NNP'), ('in', 'IN'), ('Morocco', 'NNP')]","['DrivenData', 'Morocco']"
Deriving Better Insights From Time Series Data With Cycle Plots,2 points by clevertap 11 days ago  | discuss,11,"deriving,better,insights,time,series,data,cycle,plots",Deriving Better Insights From Time Series Data With Cycle Plot,Deriving Better Insights From Time Series Data With Cycle Plots,"[('Deriving', 'VBG'), ('Better', 'NNP'), ('Insights', 'NNPS'), ('From', 'NNP'), ('Time', 'NNP'), ('Series', 'NNP'), ('Data', 'NNP'), ('With', 'IN'), ('Cycle', 'NNP'), ('Plots', 'NNP')]","['Better Insights From Time Series Data', 'Cycle Plots']"
Deep Learning: Nine Lectures at Coll?ge de France by Yan LeCun,5 points by Anon84 16 days ago  | discuss,16,"deep,learning,nine,lectures,coll,ge,de,france,yan,lecun",Deep Learning: Nine Lectures at Coll?ge de France by Yan LeCun,Deep Learning: Nine Lectures at Coll?ge de France by Yan LeCun,"[('Deep', 'JJ'), ('Learning', 'NNP'), (':', ':'), ('Nine', 'JJ'), ('Lectures', 'NNS'), ('at', 'IN'), ('Coll', 'NNP'), ('?', '.'), ('ge', 'NN'), ('de', 'IN'), ('France', 'NNP'), ('by', 'IN'), ('Yan', 'NNP'), ('LeCun', 'NNP')]","['Deep', 'Coll', 'France', 'Yan']"
SQL for Data Analysis,3 points by nickhould 14 days ago  | 6 comments,14,"sql,data,analysis",SQL for Data Analysi,SQL for Data Analysis,"[('SQL', 'NNP'), ('for', 'IN'), ('Data', 'NNP'), ('Analysis', 'NNP')]","['SQL', 'Data Analysis']"
Stream processing and messaging systems for the IoT age,2 points by gradientflow 12 days ago  | discuss,12,"stream,processing,messaging,systems,iot,age",Stream processing and messaging systems for the IoT ag,Stream processing and messaging systems for the IoT age,"[('Stream', 'NN'), ('processing', 'NN'), ('and', 'CC'), ('messaging', 'VBG'), ('systems', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('IoT', 'NNP'), ('age', 'NN')]","['Stream', 'IoT']"
Optimizing Facebook Campaigns with R,2 points by AnnaOnTheWeb 12 days ago  | 1 comment,12,"optimizing,facebook,campaigns,r",Optimizing Facebook Campaigns with R,Optimizing Facebook Campaigns with R,"[('Optimizing', 'VBG'), ('Facebook', 'NNP'), ('Campaigns', 'NNP'), ('with', 'IN'), ('R', 'NNP')]",['Facebook Campaigns']
"Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)",8 points by joelgrus 21 days ago  | discuss,21,"trump,tweets,globe,aka,fun,d3,socket,io,twitter,api","Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)","Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)","[('Trump', 'NNP'), ('Tweets', 'NNP'), ('on', 'IN'), ('a', 'DT'), ('Globe', 'NNP'), ('(', '('), ('aka', 'JJ'), ('Fun', 'NNP'), ('with', 'IN'), ('d3', 'NN'), (',', ','), ('socket', 'NN'), ('.', '.'), ('io', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('Twitter', 'NNP'), ('API', 'NNP'), (')', ')')]","['Trump Tweets', 'Twitter']"
Why pandas users should be excited about Apache Arrow,17 points by pmigdal 28 days ago  | discuss,28,"pandas,users,excited,apache,arrow",Why pandas users should be excited about Apache Arrow,Why pandas users should be excited about Apache Arrow,"[('Why', 'WRB'), ('pandas', 'JJ'), ('users', 'NNS'), ('should', 'MD'), ('be', 'VB'), ('excited', 'VBN'), ('about', 'IN'), ('Apache', 'NNP'), ('Arrow', 'NNP')]",['Apache Arrow']
Histogram intersection for change detection,8 points by datadive 22 days ago  | discuss,22,"histogram,intersection,change,detection",Histogram intersection for change detect,Histogram intersection for change detection,"[('Histogram', 'NNP'), ('intersection', 'NN'), ('for', 'IN'), ('change', 'NN'), ('detection', 'NN')]",['Histogram']
A simpler way to merge data streams,2 points by apoverton 13 days ago  | discuss,13,"simpler,way,merge,data,streams",A simpler way to merge data stream,A simpler way to merge data streams,"[('A', 'DT'), ('simpler', 'JJ'), ('way', 'NN'), ('to', 'TO'), ('merge', 'VB'), ('data', 'NNS'), ('streams', 'NNS')]",[]
Distributed TensorFlow just open-sourced,10 points by elyase 25 days ago  | discuss,25,"distributed,tensorflow,open,sourced",Distributed TensorFlow just open-sourc,Distributed TensorFlow just open-sourced,"[('Distributed', 'VBN'), ('TensorFlow', 'NNP'), ('just', 'RB'), ('open', 'VB'), ('-', ':'), ('sourced', 'VBN')]",['TensorFlow']
D3.js Screencasts (1 in 3 are free),4 points by Veerle 18 days ago  | discuss,18,"d3,js,screencasts,1,3,free",D3.js Screencasts (1 in 3 are free),D3.js Screencasts (1 in 3 are free),"[('D3', 'NNP'), ('.', '.'), ('js', 'NN'), ('Screencasts', 'NNS'), ('(', '('), ('1', 'CD'), ('in', 'IN'), ('3', 'CD'), ('are', 'VBP'), ('free', 'JJ'), (')', ')')]",[]
Regression and Classification with Examples in R,5 points by soates 19 days ago  | discuss,19,"regression,classification,examples,r",Regression and Classification with Examples in R,Regression and Classification with Examples in R,"[('Regression', 'NN'), ('and', 'CC'), ('Classification', 'NN'), ('with', 'IN'), ('Examples', 'NNP'), ('in', 'IN'), ('R', 'NNP')]","['Regression', 'Examples']"
Free online course on statistical shape modelling,8 points by shapemean 25 days ago  | discuss,25,"free,online,course,statistical,shape,modelling",Free online course on statistical shape model,Free online course on statistical shape modelling,"[('Free', 'JJ'), ('online', 'NN'), ('course', 'NN'), ('on', 'IN'), ('statistical', 'JJ'), ('shape', 'NN'), ('modelling', 'NN')]",['Free']
"Don't worry about deep learning, deepen your understanding of causality instead",22 points by yanir 36 days ago  | discuss,36,"worry,deep,learning,deepen,understanding,causality,instead","Don't worry about deep learning, deepen your understanding of causality instead","Don't worry about deep learning, deepen your understanding of causality instead","[('Don', 'NNP'), (""'"", 'POS'), ('t', 'NN'), ('worry', 'VBP'), ('about', 'IN'), ('deep', 'JJ'), ('learning', 'NN'), (',', ','), ('deepen', 'VB'), ('your', 'PRP$'), ('understanding', 'NN'), ('of', 'IN'), ('causality', 'NN'), ('instead', 'RB')]",['Don']
Skizze - A high throughput probabilistic data structure service and storage,2 points by seiflotfy 14 days ago  | discuss,14,"skizze,high,throughput,probabilistic,data,structure,service,storage",Skizze - A high throughput probabilistic data structure service and storag,Skizze - A high throughput probabilistic data structure service and storage,"[('Skizze', 'NNP'), ('-', ':'), ('A', 'DT'), ('high', 'JJ'), ('throughput', 'NN'), ('probabilistic', 'JJ'), ('data', 'NNS'), ('structure', 'NN'), ('service', 'NN'), ('and', 'CC'), ('storage', 'NN')]",['Skizze']
Work with private repositories and other updates of the FlyElephant platform,2 points by m31 14 days ago  | discuss,14,"work,private,repositories,updates,flyelephant,platform",Work with private repositories and other updates of the FlyElephant platform,Work with private repositories and other updates of the FlyElephant platform,"[('Work', 'NN'), ('with', 'IN'), ('private', 'JJ'), ('repositories', 'NNS'), ('and', 'CC'), ('other', 'JJ'), ('updates', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('FlyElephant', 'NNP'), ('platform', 'NN')]","['Work', 'FlyElephant']"
How to import XML to almost anywhere,4 points by Jammink 19 days ago  | discuss,19,"import,xml,almost,anywhere",How to import XML to almost anywher,How to import XML to almost anywhere,"[('How', 'WRB'), ('to', 'TO'), ('import', 'VB'), ('XML', 'NN'), ('to', 'TO'), ('almost', 'RB'), ('anywhere', 'VB')]",['XML']
Optimizing Notification Timing for One Signal,8 points by megandias 25 days ago  | discuss,25,"optimizing,notification,timing,one,signal",Optimizing Notification Timing for One Sign,Optimizing Notification Timing for One Signal,"[('Optimizing', 'VBG'), ('Notification', 'NNP'), ('Timing', 'NNP'), ('for', 'IN'), ('One', 'CD'), ('Signal', 'NNP')]",[]
Survival Analysis of Cricket Player Careers,8 points by keshav92 25 days ago  | 6 comments,25,"survival,analysis,cricket,player,careers",Survival Analysis of Cricket Player Car,Survival Analysis of Cricket Player Careers,"[('Survival', 'JJ'), ('Analysis', 'NN'), ('of', 'IN'), ('Cricket', 'NNP'), ('Player', 'NNP'), ('Careers', 'NNP')]",['Cricket Player Careers']
Generate image analogies using neural matching and blending,2 points by pmigdal 15 days ago  | discuss,15,"generate,image,analogies,using,neural,matching,blending",Generate image analogies using neural matching and blend,Generate image analogies using neural matching and blending,"[('Generate', 'NNP'), ('image', 'NN'), ('analogies', 'NNS'), ('using', 'VBG'), ('neural', 'JJ'), ('matching', 'NN'), ('and', 'CC'), ('blending', 'NN')]",['Generate']
"Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)",4 points by mikewally 20 days ago  | discuss,20,"analyzing,1,8m,tweets,super,bowl,50,twython,twitter,api,aylien","Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)","Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)","[('Analyzing', 'VBG'), ('1', 'CD'), ('.', '.'), ('8M', 'CD'), ('tweets', 'NNS'), ('from', 'IN'), ('Super', 'NNP'), ('Bowl', 'NNP'), ('50', 'CD'), ('(', '('), ('Twython', 'NNP'), (',', ','), ('Twitter', 'NNP'), ('API', 'NNP'), (',', ','), ('AYLIEN', 'NNP'), (')', ')')]","['Super Bowl', 'Twython', 'Twitter API', 'AYLIEN']"
Newly released sklearn compatible library of categorical encoders,7 points by wdm0006 25 days ago  | discuss,25,"newly,released,sklearn,compatible,library,categorical,encoders",Newly released sklearn compatible library of categorical encod,Newly released sklearn compatible library of categorical encoders,"[('Newly', 'RB'), ('released', 'VBN'), ('sklearn', 'NN'), ('compatible', 'JJ'), ('library', 'NN'), ('of', 'IN'), ('categorical', 'JJ'), ('encoders', 'NNS')]",[]
Watch Tiny Neural Nets Learn,4 points by swanint 20 days ago  | discuss,20,"watch,tiny,neural,nets,learn",Watch Tiny Neural Nets Learn,Watch Tiny Neural Nets Learn,"[('Watch', 'NNP'), ('Tiny', 'NNP'), ('Neural', 'NNP'), ('Nets', 'NNP'), ('Learn', 'NNP')]",['Watch Tiny Neural Nets Learn']
Four pitfalls of hill climbing: An animated look,5 points by csaid81 22 days ago  | discuss,22,"four,pitfalls,hill,climbing,animated,look",Four pitfalls of hill climbing: An animated look,Four pitfalls of hill climbing: An animated look,"[('Four', 'CD'), ('pitfalls', 'NNS'), ('of', 'IN'), ('hill', 'NN'), ('climbing', 'VBG'), (':', ':'), ('An', 'DT'), ('animated', 'JJ'), ('look', 'NN')]",[]
"Decision Forests, Convolutional Networks and the Models in-Between",2 points by ebellm 15 days ago  | discuss,15,"decision,forests,convolutional,networks,models","Decision Forests, Convolutional Networks and the Models in-Between","Decision Forests, Convolutional Networks and the Models in-Between","[('Decision', 'NN'), ('Forests', 'NNS'), (',', ','), ('Convolutional', 'NNP'), ('Networks', 'NNP'), ('and', 'CC'), ('the', 'DT'), ('Models', 'NNP'), ('in', 'IN'), ('-', ':'), ('Between', 'NN')]","['Convolutional Networks', 'Models']"
How a Math Genius Hacked OkCupid to Find True Love,15 points by roh_codeur 34 days ago  | discuss,34,"math,genius,hacked,okcupid,find,true,love",How a Math Genius Hacked OkCupid to Find True Lov,How a Math Genius Hacked OkCupid to Find True Love,"[('How', 'WRB'), ('a', 'DT'), ('Math', 'NNP'), ('Genius', 'NNP'), ('Hacked', 'NNP'), ('OkCupid', 'NNP'), ('to', 'TO'), ('Find', 'VB'), ('True', 'JJ'), ('Love', 'NNP')]",['True Love']
No developers for PyLearn2,3 points by tfturing 18 days ago  | discuss,18,"developers,pylearn2",No developers for PyLearn2,No developers for PyLearn2,"[('No', 'DT'), ('developers', 'NNS'), ('for', 'IN'), ('PyLearn2', 'NN')]",['PyLearn2']
Density Estimation with Dirichlet Process Mixtures using PyMC3,6 points by MidsizeBlowfish 25 days ago  | discuss,25,"density,estimation,dirichlet,process,mixtures,using,pymc3",Density Estimation with Dirichlet Process Mixtures using PyMC3,Density Estimation with Dirichlet Process Mixtures using PyMC3,"[('Density', 'NNP'), ('Estimation', 'NNP'), ('with', 'IN'), ('Dirichlet', 'NNP'), ('Process', 'NNP'), ('Mixtures', 'NNP'), ('using', 'VBG'), ('PyMC3', 'NNP')]","['Density Estimation', 'Dirichlet Process Mixtures', 'PyMC3']"
Using survival analysis and git-pandas to estimate code quality,3 points by wdm0006 19 days ago  | discuss,19,"using,survival,analysis,git,pandas,estimate,code,quality",Using survival analysis and git-pandas to estimate code qu,Using survival analysis and git-pandas to estimate code quality,"[('Using', 'VBG'), ('survival', 'JJ'), ('analysis', 'NN'), ('and', 'CC'), ('git', 'JJ'), ('-', ':'), ('pandas', 'NN'), ('to', 'TO'), ('estimate', 'VB'), ('code', 'NN'), ('quality', 'NN')]",[]
An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,3 points by JHorn 19 days ago  | discuss,19,"analysis,flint,michigan,water,crisis,part,1,initial,corrosivity",An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corros,An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,"[('An', 'DT'), ('Analysis', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Flint', 'NNP'), ('Michigan', 'NNP'), ('Water', 'NNP'), ('Crisis', 'NNP'), (':', ':'), ('Part', 'NN'), ('1', 'CD'), ('Initial', 'NNP'), ('Corrosivity', 'NNP')]",['Flint Michigan Water']
An Analysis of Republican Twitter Follower Interests,6 points by michelangelo 25 days ago  | discuss,25,"analysis,republican,twitter,follower,interests",An Analysis of Republican Twitter Follower Interest,An Analysis of Republican Twitter Follower Interests,"[('An', 'DT'), ('Analysis', 'NN'), ('of', 'IN'), ('Republican', 'JJ'), ('Twitter', 'NNP'), ('Follower', 'NNP'), ('Interests', 'NNS')]",['Republican Twitter Follower']
Introduction to ML talk,8 points by cjbayesian 29 days ago  | discuss,29,"introduction,ml,talk",Introduction to ML talk,Introduction to ML talk,"[('Introduction', 'NN'), ('to', 'TO'), ('ML', 'NNP'), ('talk', 'NN')]",[]
GloVe vs word2vec revisited,3 points by pmigdal 20 days ago  | discuss,20,"glove,vs,word2vec,revisited",GloVe vs word2vec revisit,GloVe vs word2vec revisited,"[('GloVe', 'NNP'), ('vs', 'NN'), ('word2vec', 'NN'), ('revisited', 'VBD')]",['GloVe']
Undergrad Data Analysis/Science internships SF Bay?,3 points by tctctc 15 days ago  | 5 comments,15,"undergrad,data,analysis,science,internships,sf,bay",Undergrad Data Analysis/Science internships SF Bay?,Undergrad Data Analysis/Science internships SF Bay?,"[('Undergrad', 'NNP'), ('Data', 'NNP'), ('Analysis', 'NNP'), ('/', 'NNP'), ('Science', 'NNP'), ('internships', 'NNS'), ('SF', 'NNP'), ('Bay', 'NNP'), ('?', '.')]",['Undergrad Data Analysis']
The Role of Statistical Significance in Growth Hacking,6 points by rawls234 26 days ago  | discuss,26,"role,statistical,significance,growth,hacking",The Role of Statistical Significance in Growth Hack,The Role of Statistical Significance in Growth Hacking,"[('The', 'DT'), ('Role', 'NNP'), ('of', 'IN'), ('Statistical', 'NNP'), ('Significance', 'NNP'), ('in', 'IN'), ('Growth', 'NNP'), ('Hacking', 'NNP')]","['Statistical Significance', 'Growth Hacking']"
Data Science Course @ Harvard,7 points by rahmaniacc 28 days ago  | 2 comments,28,"data,science,course,@,harvard",Data Science Course @ Harvard,Data Science Course @ Harvard,"[('Data', 'NNP'), ('Science', 'NNP'), ('Course', 'NNP'), ('@', 'NNP'), ('Harvard', 'NNP')]",['Data Science Course']
Principal Component Projection Without Principal Component Analysis,6 points by genofon 27 days ago  | discuss,27,"principal,component,projection,without,principal,component,analysis",Principal Component Projection Without Principal Component Analysi,Principal Component Projection Without Principal Component Analysis,"[('Principal', 'JJ'), ('Component', 'NNP'), ('Projection', 'NNP'), ('Without', 'IN'), ('Principal', 'NNP'), ('Component', 'NNP'), ('Analysis', 'NN')]",['Principal']
"Machine Learning: An In-Depth, Non-Technical Guide - Part 3",7 points by innoarchitech 29 days ago  | discuss,29,"machine,learning,depth,non,technical,guide,part,3","Machine Learning: An In-Depth, Non-Technical Guide - Part 3","Machine Learning: An In-Depth, Non-Technical Guide - Part 3","[('Machine', 'NN'), ('Learning', 'NNP'), (':', ':'), ('An', 'DT'), ('In', 'IN'), ('-', ':'), ('Depth', 'NN'), (',', ','), ('Non', 'NNP'), ('-', ':'), ('Technical', 'NNP'), ('Guide', 'NNP'), ('-', ':'), ('Part', 'NN'), ('3', 'CD')]","['Machine Learning', 'Non', 'Technical Guide']"
Stochastic Dummy Boosting,2 points by mikeskim 17 days ago  | discuss,17,"stochastic,dummy,boosting",Stochastic Dummy Boost,Stochastic Dummy Boosting,"[('Stochastic', 'JJ'), ('Dummy', 'NNP'), ('Boosting', 'NNP')]",['Stochastic Dummy']
