title,date,days,tokens,stem,lemma,pos_tags,named_entities
What machines can learn from Apple Watch: detecting undiagnosed heart condition,9 points by koukouhappy 5 days ago  | discuss,5,"machines,learn,apple,watch,detecting,undiagnosed,heart,condition",What machines can learn from Apple Watch: detecting undiagnosed heart condit,What machines can learn from Apple Watch: detecting undiagnosed heart condition,"[('What', 'WP'), ('machines', 'NNS'), ('can', 'MD'), ('learn', 'VB'), ('from', 'IN'), ('Apple', 'NNP'), ('Watch', 'NNP'), (':', ':'), ('detecting', 'NN'), ('undiagnosed', 'JJ'), ('heart', 'NN'), ('condition', 'NN')]",['Apple Watch']
Data Science Tools: The Biggest Winners and Losers,12 points by AnnaOnTheWeb 7 days ago  | discuss,7,"data,science,tools,biggest,winners,losers",Data Science Tools: The Biggest Winners and Los,Data Science Tools: The Biggest Winners and Losers,"[('Data', 'NNP'), ('Science', 'NNP'), ('Tools', 'NNP'), (':', ':'), ('The', 'DT'), ('Biggest', 'NNP'), ('Winners', 'NNPS'), ('and', 'CC'), ('Losers', 'NNS')]","['Data Science Tools', 'Biggest Winners']"
10 Years of Open Source Machine Learning,9 points by tstonez 6 days ago  | 1 comment,6,"10,years,open,source,machine,learning",10 Years of Open Source Machine Learn,10 Years of Open Source Machine Learning,"[('10', 'CD'), ('Years', 'NNS'), ('of', 'IN'), ('Open', 'NNP'), ('Source', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP')]",['Open Source Machine']
Do jobs run in families?,5 points by Anon84 5 days ago  | 1 comment,5,"jobs,run,families",Do jobs run in families?,Do jobs run in families?,"[('Do', 'NNP'), ('jobs', 'NNS'), ('run', 'VB'), ('in', 'IN'), ('families', 'NNS'), ('?', '.')]",[]
Has your conversion rate changed? Bayesian timeseries analysis with Python,12 points by yummyfajitas 8 days ago  | discuss,8,"conversion,rate,changed,bayesian,timeseries,analysis,python",Has your conversion rate changed? Bayesian timeseries analysis with Python,Has your conversion rate changed? Bayesian timeseries analysis with Python,"[('Has', 'NNP'), ('your', 'PRP$'), ('conversion', 'NN'), ('rate', 'NN'), ('changed', 'VBN'), ('?', '.'), ('Bayesian', 'JJ'), ('timeseries', 'NNS'), ('analysis', 'NN'), ('with', 'IN'), ('Python', 'NNP')]",['Python']
"XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow",8 points by crowwork 7 days ago  | discuss,7,"xgboost4j,portable,distributed,xgboost,spark,flink,dataflow","XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow","XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow","[('XGBoost4J', 'NN'), (':', ':'), ('Portable', 'JJ'), ('Distributed', 'NNP'), ('XGboost', 'NN'), ('in', 'IN'), ('Spark', 'NNP'), (',', ','), ('Flink', 'NNP'), ('and', 'CC'), ('Dataflow', 'NNP')]","['XGBoost4J', 'Spark', 'Flink', 'Dataflow']"
Introduction to Scikit Flow -  Simplified Interface to TensorFlow,7 points by lefish 7 days ago  | discuss,7,"introduction,scikit,flow,simplified,interface,tensorflow",Introduction to Scikit Flow -  Simplified Interface to TensorFlow,Introduction to Scikit Flow -  Simplified Interface to TensorFlow,"[('Introduction', 'NN'), ('to', 'TO'), ('Scikit', 'NNP'), ('Flow', 'NNP'), ('-', ':'), ('Simplified', 'VBD'), ('Interface', 'NNP'), ('to', 'TO'), ('TensorFlow', 'VB')]",['Scikit Flow']
How to learn machine learning?,8 points by kiechu 7 days ago  | 1 comment,7,"learn,machine,learning",How to learn machine learning?,How to learn machine learning?,"[('How', 'WRB'), ('to', 'TO'), ('learn', 'VB'), ('machine', 'NN'), ('learning', 'NN'), ('?', '.')]",[]
The Deep Roots of Javascript Fatigue,5 points by nikkielizdemere 6 days ago  | 1 comment,6,"deep,roots,javascript,fatigue",The Deep Roots of Javascript Fatigu,The Deep Roots of Javascript Fatigue,"[('The', 'DT'), ('Deep', 'NNP'), ('Roots', 'NNP'), ('of', 'IN'), ('Javascript', 'NNP'), ('Fatigue', 'NNP')]","['Deep Roots', 'Javascript Fatigue']"
How do we make Data Tau work?,27 points by hal8 8 days ago  | 18 comments,8,"make,data,tau,work",How do we make Data Tau work?,How do we make Data Tau work?,"[('How', 'WRB'), ('do', 'VBP'), ('we', 'PRP'), ('make', 'VB'), ('Data', 'NNP'), ('Tau', 'NNP'), ('work', 'NN'), ('?', '.')]",['Data Tau']
"Machine Learning: An In-Depth, Non-Technical Guide???Part 4",7 points by innoarchitech 8 days ago  | discuss,8,"machine,learning,depth,non,technical,guide,???,part,4","Machine Learning: An In-Depth, Non-Technical Guide???Part 4","Machine Learning: An In-Depth, Non-Technical Guide???Part 4","[('Machine', 'NN'), ('Learning', 'NNP'), (':', ':'), ('An', 'DT'), ('In', 'IN'), ('-', ':'), ('Depth', 'NN'), (',', ','), ('Non', 'NNP'), ('-', ':'), ('Technical', 'NNP'), ('Guide', 'NNP'), ('???', 'NNP'), ('Part', 'NNP'), ('4', 'CD')]","['Machine Learning', 'Non', 'Technical Guide']"
Data Science Slack channel - Click for invite,7 points by jyotsna 8 days ago  | discuss,8,"data,science,slack,channel,click,invite",Data Science Slack channel - Click for invit,Data Science Slack channel - Click for invite,"[('Data', 'NNP'), ('Science', 'NNP'), ('Slack', 'NNP'), ('channel', 'NN'), ('-', ':'), ('Click', 'NN'), ('for', 'IN'), ('invite', 'NN')]","['Data Science Slack', 'Click']"
Genomic Data Visualization using Python,2 points by RadhouaneAniba 3 days ago  | discuss,3,"genomic,data,visualization,using,python",Genomic Data Visualization using Python,Genomic Data Visualization using Python,"[('Genomic', 'NNP'), ('Data', 'NNP'), ('Visualization', 'NNP'), ('using', 'VBG'), ('Python', 'NNP')]","['Genomic Data', 'Python']"
Descriptive Statistics in SQL,5 points by nickhould 7 days ago  | discuss,7,"descriptive,statistics,sql",Descriptive Statistics in SQL,Descriptive Statistics in SQL,"[('Descriptive', 'JJ'), ('Statistics', 'NNS'), ('in', 'IN'), ('SQL', 'NNP')]",['SQL']
"Playing ""Moneyball"" on EA FIFA 16",16 points by aabb13 13 days ago  | 3 comments,13,"playing,moneyball,ea,fifa,16","Playing ""Moneyball"" on EA FIFA 16","Playing ""Moneyball"" on EA FIFA 16","[('Playing', 'VBG'), ('""', 'NNP'), ('Moneyball', 'NNP'), ('""', 'NNP'), ('on', 'IN'), ('EA', 'NNP'), ('FIFA', 'NNP'), ('16', 'CD')]",[]
Intellexer - Natural Language Processing and Text Mining REST API,16 points by j_downer 13 days ago  | discuss,13,"intellexer,natural,language,processing,text,mining,rest,api",Intellexer - Natural Language Processing and Text Mining REST API,Intellexer - Natural Language Processing and Text Mining REST API,"[('Intellexer', 'NNP'), ('-', ':'), ('Natural', 'JJ'), ('Language', 'NNP'), ('Processing', 'NNP'), ('and', 'CC'), ('Text', 'NNP'), ('Mining', 'NNP'), ('REST', 'NNP'), ('API', 'NNP')]","['Intellexer', 'Natural Language', 'Text Mining']"
How to Use Cohort Data to Analyze User Behavior,2 points by clevertap 3 days ago  | discuss,3,"use,cohort,data,analyze,user,behavior",How to Use Cohort Data to Analyze User Behavior,How to Use Cohort Data to Analyze User Behavior,"[('How', 'WRB'), ('to', 'TO'), ('Use', 'VB'), ('Cohort', 'NNP'), ('Data', 'NNP'), ('to', 'TO'), ('Analyze', 'NNP'), ('User', 'NNP'), ('Behavior', 'NNP')]","['Cohort Data', 'Analyze User Behavior']"
