title,date,days
Data Science Tools: The Biggest Winners and Losers,12 points by AnnaOnTheWeb 7 days ago  | discuss,7
10 Years of Open Source Machine Learning,9 points by tstonez 6 days ago  | 1 comment,6
Has your conversion rate changed? Bayesian timeseries analysis with Python,12 points by yummyfajitas 8 days ago  | discuss,8
Do jobs run in families?,5 points by Anon84 5 days ago  | 1 comment,5
Introduction to Scikit Flow -  Simplified Interface to TensorFlow,8 points by lefish 7 days ago  | discuss,7
"XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow",8 points by crowwork 8 days ago  | discuss,8
How to learn machine learning?,8 points by kiechu 8 days ago  | 1 comment,8
The Deep Roots of Javascript Fatigue,5 points by nikkielizdemere 6 days ago  | 1 comment,6
How do we make Data Tau work?,27 points by hal8 9 days ago  | 18 comments,9
"Machine Learning: An In-Depth, Non-Technical Guide???Part 4",7 points by innoarchitech 8 days ago  | discuss,8
Data Science Slack channel - Click for invite,7 points by jyotsna 8 days ago  | discuss,8
[Ask DT] What are some rookie mistakes in R?,3 points by HKtemp 3 days ago  | discuss,3
"Playing ""Moneyball"" on EA FIFA 16",16 points by aabb13 13 days ago  | 3 comments,13
Intellexer - Natural Language Processing and Text Mining REST API,16 points by j_downer 13 days ago  | discuss,13
Descriptive Statistics in SQL,5 points by nickhould 7 days ago  | discuss,7
Genomic Data Visualization using Python,2 points by RadhouaneAniba 4 days ago  | discuss,4
How to Use Cohort Data to Analyze User Behavior,2 points by clevertap 4 days ago  | discuss,4
Making transparent how variations in analytical choices affect results,4 points by rahmaniacc 7 days ago  | discuss,7
Show DT: Datasets.co - An easy way to share and discover ml datasets,2 points by mrborgen86 4 days ago  | discuss,4
Is Scala a better choice than Python for Apache Spark?,7 points by srinify 10 days ago  | 1 comment,10
Julia: A Fast Language for Numerical Computing,7 points by srinify 10 days ago  | 1 comment,10
"An Ode To The Rice Cooker, The Smartest Kitchen Appliance I?ve Ever Owned",2 points by tfturing 4 days ago  | discuss,4
Computing Classification Evaluation Metrics in R,4 points by lefish 7 days ago  | discuss,7
Analyzing Golden State Warriors' passing network using GraphFrames in Spark,3 points by yukiegosapporo 6 days ago  | discuss,6
Megaman: Manifold Learning with Millions of points,4 points by dperry 8 days ago  | 3 comments,8
How to Detect Outliers on Parametric and Non Parametric Methods,2 points by clevertap 5 days ago  | discuss,5
BallR: Interactive NBA Shot Charts with R and Shiny,12 points by carlosgg 14 days ago  | discuss,14
A Billion Taxi Rides on Amazon EMR Running Presto,4 points by marklit 8 days ago  | discuss,8
Minecraft to run artificial intelligence experiments,4 points by bsadeghi 8 days ago  | discuss,8
Deep Q-Learning (Space Invaders),4 points by pmigdal 8 days ago  | discuss,8
Theano Tutorial,2 points by pmigdal 5 days ago  | discuss,5
The Personality Space of Cartoon Characters,3 points by lefish 7 days ago  | discuss,7
Announcing Apache Flink 1.0.0,11 points by mxm 14 days ago  | discuss,14
"Telemetry with Collectd, Logstash, Elasticsearch and Grafana (ELG)",3 points by helloanand 7 days ago  | discuss,7
Statisticians Agree: It?s Time To Stop Misusing P-Value,10 points by jpiburn 15 days ago  | 5 comments,15
Bayesian Reasoning in The Twilight Zone!,2 points by Homunculiheaded 6 days ago  | discuss,6
Bayesian Estimation of G Train Wait Times,7 points by jamesdreiss 12 days ago  | discuss,12
XGBoost: A Scalable Tree Boosting System article,6 points by tfturing 12 days ago  | discuss,12
Some experiments into explaining complex black box ensemble predictions,2 points by lefish 6 days ago  | discuss,6
Creating a Hadoop Pseudo-Distributed Environment,2 points by lefish 6 days ago  | discuss,6
"Data Science Pop-Up in Austin, TX",2 points by AnnaOnTheWeb 6 days ago  | discuss,6
Train your own image classifier with Inception in TensorFlow,7 points by elyase 13 days ago  | discuss,13
Shiny app for running a Tensorflow demo,3 points by shinyman 9 days ago  | discuss,9
File details and owners with gitnoc and git-pandas,3 points by wdm0006 9 days ago  | discuss,9
7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,2 points by galvanize 7 days ago  | discuss,7
Topic clusters with TF-IDF vectorization with Spark and Scala,2 points by lefish 7 days ago  | discuss,7
Neural Doodles: Workflows for the Next Generation of Artists,5 points by pmigdal 12 days ago  | discuss,12
Graph Databases 101,5 points by carlosgg 12 days ago  | discuss,12
DataRadar.IO - Data Science RSS Feed - Do you have enough data about your data,2 points by dekhtiar 8 days ago  | 3 comments,8
International Women's Day: What #PledgeForParity Means To Us,5 points by ddrum001 14 days ago  | discuss,14
Top 50 Data Science thought leaders on Twitter,3 points by datawerq 11 days ago  | 3 comments,11
Ask DT: Who Is Hiring? (March 2016),27 points by whoishiring 21 days ago  | 15 comments,21
Deriving Better Insights From Time Series Data With Cycle Plots,3 points by clevertap 11 days ago  | discuss,11
Introducing GraphFrames,7 points by falaki 19 days ago  | discuss,19
SQL for Data Analysis,4 points by nickhould 14 days ago  | 6 comments,14
Stream processing and messaging systems for the IoT age,3 points by gradientflow 12 days ago  | discuss,12
Announcing R Tools for Visual Studio,3 points by brakmic 13 days ago  | discuss,13
A simpler way to merge data streams,3 points by apoverton 13 days ago  | discuss,13
Optimizing Notification Timing for One Signal,9 points by megandias 26 days ago  | discuss,26
Skizze - A high throughput probabilistic data structure service and storage,3 points by seiflotfy 14 days ago  | discuss,14
Question: What do you want to say about working with data?,2 points by emiller425 8 days ago  | discuss,8
Genomic Ranges - an Introduction to Working with Genomic Data,3 points by AnnaOnTheWeb 13 days ago  | discuss,13
TensorFlow for Poets,9 points by ebellm 21 days ago  | 1 comment,21
Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,2 points by idewanck 11 days ago  | discuss,11
How to work with large JSON datasets using Python and Pandas,9 points by brian_spiering 21 days ago  | discuss,21
DrivenData Competition: Model/Visualize Fog Patterns in Morocco,4 points by bull 15 days ago  | discuss,15
Deep Learning: Nine Lectures at Coll?ge de France by Yan LeCun,5 points by Anon84 17 days ago  | discuss,17
Optimizing Facebook Campaigns with R,2 points by AnnaOnTheWeb 12 days ago  | 1 comment,12
"Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)",8 points by joelgrus 21 days ago  | discuss,21
Why pandas users should be excited about Apache Arrow,17 points by pmigdal 29 days ago  | discuss,29
Histogram intersection for change detection,8 points by datadive 22 days ago  | discuss,22
Distributed TensorFlow just open-sourced,10 points by elyase 25 days ago  | discuss,25
D3.js Screencasts (1 in 3 are free),4 points by Veerle 18 days ago  | discuss,18
Regression and Classification with Examples in R,5 points by soates 20 days ago  | discuss,20
Free online course on statistical shape modelling,8 points by shapemean 25 days ago  | discuss,25
"Don't worry about deep learning, deepen your understanding of causality instead",22 points by yanir 37 days ago  | discuss,37
Work with private repositories and other updates of the FlyElephant platform,2 points by m31 15 days ago  | discuss,15
How to import XML to almost anywhere,4 points by Jammink 20 days ago  | discuss,20
Survival Analysis of Cricket Player Careers,8 points by keshav92 26 days ago  | 6 comments,26
Generate image analogies using neural matching and blending,2 points by pmigdal 15 days ago  | discuss,15
"Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)",4 points by mikewally 20 days ago  | discuss,20
Newly released sklearn compatible library of categorical encoders,7 points by wdm0006 25 days ago  | discuss,25
Watch Tiny Neural Nets Learn,4 points by swanint 21 days ago  | discuss,21
Four pitfalls of hill climbing: An animated look,5 points by csaid81 23 days ago  | discuss,23
"Decision Forests, Convolutional Networks and the Models in-Between",2 points by ebellm 16 days ago  | discuss,16
How a Math Genius Hacked OkCupid to Find True Love,15 points by roh_codeur 34 days ago  | discuss,34
No developers for PyLearn2,3 points by tfturing 19 days ago  | discuss,19
Density Estimation with Dirichlet Process Mixtures using PyMC3,6 points by MidsizeBlowfish 25 days ago  | discuss,25
Using survival analysis and git-pandas to estimate code quality,3 points by wdm0006 20 days ago  | discuss,20
An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,3 points by JHorn 20 days ago  | discuss,20
An Analysis of Republican Twitter Follower Interests,6 points by michelangelo 26 days ago  | discuss,26
Introduction to ML talk,8 points by cjbayesian 29 days ago  | discuss,29
GloVe vs word2vec revisited,3 points by pmigdal 20 days ago  | discuss,20
Overoptimizing: a story about kaggle,4 points by wdm0006 30 days ago  | discuss,30
Undergrad Data Analysis/Science internships SF Bay?,3 points by tctctc 15 days ago  | 5 comments,15
The Role of Statistical Significance in Growth Hacking,6 points by rawls234 27 days ago  | discuss,27
Data Science Course @ Harvard,7 points by rahmaniacc 29 days ago  | 2 comments,29
Principal Component Projection Without Principal Component Analysis,6 points by genofon 27 days ago  | discuss,27
"Machine Learning: An In-Depth, Non-Technical Guide - Part 3",7 points by innoarchitech 29 days ago  | discuss,29
Stochastic Dummy Boosting,2 points by mikeskim 18 days ago  | discuss,18
Interactive Map: Hong-Kong through The Lense of Instagram,2 points by BrianN 19 days ago  | discuss,19
Data Science at Monsanto,3 points by doctorcroc 22 days ago  | discuss,22
Data Science at Instacart,11 points by jeremystan 34 days ago  | 3 comments,34
Building a Streaming Search Platform,6 points by ddrum001 28 days ago  | discuss,28
Kafka Producer Latency with Large Topic Counts,3 points by marklit 26 days ago  | discuss,26
A Sneak Peak of the Cloud: the 2 Minute Intro for Beginners,2 points by andymaheshw 20 days ago  | discuss,20
Win-Vector video courses: price/status changes,2 points by jmount 20 days ago  | discuss,20
50+ Data Science and Machine Learning Cheat Sheets,20 points by elyase 42 days ago  | 1 comment,42
One More Reason Not To Be Scared of Deep Learning,2 points by amplifier_khan 21 days ago  | discuss,21
Visual Logic Authoring vs Code,2 points by AnnaOnTheWeb 21 days ago  | discuss,21
Data Science in Python online training with hands-on experience,2 points by Puneet 21 days ago  | discuss,21
Viewing the US Presidential Primary Through the Lens of Twitter,8 points by michelangelo 33 days ago  | discuss,33
Caffe on Spark open sourced,4 points by rahmaniacc 27 days ago  | discuss,27
The Ethical Data Scientist,5 points by tfturing 29 days ago  | discuss,29
Answers to Frequently Asked Questions in Machine Learning,3 points by rasbt 21 days ago  | discuss,21
Intro to A/B Testing and P-Values,2 points by randyzwitch 22 days ago  | discuss,22
Visualizing State Level Data With R and Statebins,2 points by usujason 22 days ago  | discuss,22
"Probabilistic Graphical Models slides & video lectures (Eric Xing, CMU)",4 points by ororm 28 days ago  | discuss,28
Sense2vec with spaCy and Gensim,9 points by elyase 36 days ago  | 2 comments,36
A Billion NYC Taxi and Uber Rides in AWS Redshift,3 points by marklit 31 days ago  | discuss,31
How to Code and Understand DeepMind's Neural Stack Machine (in Python),2 points by genofon 23 days ago  | discuss,23
How to make polished Jupyter presentations with optional code visibility,9 points by csaid81 36 days ago  | discuss,36
How to become a Bayesian in eight easy steps,17 points by EtzA 44 days ago  | 1 comment,44
Optimizing .*:  Details of Vectorization and Metaprogramming in Julia,4 points by randyzwitch 29 days ago  | discuss,29
IBM certified Apache Spark Online Training,8 points by divya_jain 36 days ago  | discuss,36
Geographic Data Science course,2 points by rk 25 days ago  | discuss,25
"The Daily Mail Stole My Visualization, Twice",5 points by thehoff 32 days ago  | 1 comment,32
Ensemble Methods: Improved Machine Learning Results,9 points by PyBloggers 38 days ago  | discuss,38
Apache Spark and unsupervised learning in security,2 points by gradientflow 26 days ago  | discuss,26
MachineJS: Automated machine learning- just give it a data file!,2 points by dsernst 26 days ago  | discuss,26
The NSA?s SKYNET program may be killing thousands of innocent people,6 points by zlipp 35 days ago  | discuss,35
"Big Dimensions, and What You Can Do About It",2 points by ramsey 27 days ago  | discuss,27
Automate Your Oscars Pool with R,2 points by jamesdreiss 27 days ago  | discuss,27
Signal Processing with LIGO GW150914 data,9 points by tfturing 39 days ago  | discuss,39
Overview of DeZyre and Coursera Data Science Course,5 points by ann928 34 days ago  | discuss,34
Upcoming Datathon in NYC,2 points by VicTrey 28 days ago  | discuss,28
Summarizing Data in SQL,15 points by elisebreda 46 days ago  | discuss,46
A/B Testing for Scammers,2 points by sameermanek 28 days ago  | discuss,28
Highly interpretable classifiers for scikit learn using Bayesian decision rules,2 points by mcnulty 28 days ago  | discuss,28
Auto-scaling scikit-learn with Spark,11 points by falaki 43 days ago  | discuss,43
Where the f*** can I park?,2 points by manugarri 29 days ago  | discuss,29
"Machine Learning: An In-Depth, Non-Technical Guide - Part 2",5 points by innoarchitech 36 days ago  | discuss,36
Webhose.io now offers a historical data archive,7 points by databuffer 40 days ago  | discuss,40
Meetup: Introduction to Machine Learning Algorithms for Data Science.,4 points by ann928 36 days ago  | discuss,36
Exploring the Limits of Language Modeling,8 points by soates 42 days ago  | discuss,42
Text Mining South Park,7 points by pmigdal 41 days ago  | discuss,41
Finding the K in K-means by Parametric Bootstrap,7 points by jmount 42 days ago  | 1 comment,42
Getting Started with Statistics for Data Science,3 points by nickhould 35 days ago  | discuss,35
Rodeo 1.3 - Tab-completion for docstrings,3 points by glamp 35 days ago  | discuss,35
Teaching D3.js - links,3 points by pmigdal 35 days ago  | discuss,35
Parallel scikit-learn on YARN,5 points by stijntonk 39 days ago  | discuss,39
Meetup: Free Live Webinar on Prescriptive Analytics for Fun and Profit,2 points by ann928 32 days ago  | discuss,32
